epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2020.28,0.67869,0.44227,0.87596,0.87098,0.79412,0.85841,0.65378,0.72942,0.48482,0.87066,0.000665021,0.000665021,0.000665021
2,4020.54,0.7925,0.49106,0.90313,0.86984,0.79081,0.85576,0.65043,0.73953,0.48712,0.87148,0.00130532,0.00130532,0.00130532
3,6076.93,0.82295,0.50833,0.91125,0.86036,0.79596,0.85456,0.64356,0.76594,0.50067,0.8697,0.00191922,0.00191922,0.00191922
4,8155.88,0.83505,0.52526,0.91809,0.85834,0.79971,0.8541,0.64115,0.75118,0.49681,0.87341,0.0018812,0.0018812,0.0018812
5,10225.4,0.84347,0.52026,0.91747,0.86455,0.79669,0.85461,0.63724,0.78832,0.50782,0.88268,0.0018416,0.0018416,0.0018416
6,12296.2,0.85173,0.52609,0.9249,0.86684,0.7989,0.8565,0.64303,0.76848,0.49194,0.88132,0.001802,0.001802,0.001802
7,14362.8,0.86772,0.5452,0.92621,0.85527,0.79296,0.84879,0.63535,0.77517,0.51984,0.88064,0.0017624,0.0017624,0.0017624
8,16429,0.85588,0.52829,0.92333,0.85771,0.80772,0.85633,0.63973,0.77845,0.49766,0.8835,0.0017228,0.0017228,0.0017228
9,18497.5,0.85194,0.52846,0.92536,0.86614,0.80257,0.85238,0.63771,0.76345,0.5049,0.88057,0.0016832,0.0016832,0.0016832
10,20560.1,0.8391,0.52156,0.91931,0.86708,0.79228,0.85044,0.64087,0.75966,0.50441,0.87886,0.0016436,0.0016436,0.0016436
11,22623.1,0.85364,0.53198,0.92325,0.86377,0.79816,0.85464,0.64465,0.74346,0.50624,0.87519,0.001604,0.001604,0.001604
12,24692.7,0.83999,0.52091,0.92244,0.87892,0.7875,0.85623,0.64635,0.76161,0.49037,0.88206,0.0015644,0.0015644,0.0015644
13,26767.8,0.83835,0.52179,0.92099,0.86539,0.80362,0.85141,0.64267,0.74752,0.49213,0.8703,0.0015248,0.0015248,0.0015248
14,28837,0.83081,0.51259,0.91648,0.8657,0.79522,0.85417,0.64308,0.75028,0.49644,0.87917,0.0014852,0.0014852,0.0014852
15,30902.5,0.82633,0.51558,0.91507,0.86759,0.79978,0.85863,0.64928,0.73398,0.48545,0.87486,0.0014456,0.0014456,0.0014456
16,32970.5,0.82719,0.51588,0.91651,0.86806,0.8,0.8551,0.64261,0.75189,0.49042,0.87805,0.001406,0.001406,0.001406
17,35032.7,0.81842,0.50641,0.91208,0.87416,0.79007,0.85325,0.64848,0.735,0.49303,0.86694,0.0013664,0.0013664,0.0013664
18,37100.4,0.82279,0.50967,0.91057,0.88173,0.79759,0.8558,0.64632,0.73372,0.48818,0.8673,0.0013268,0.0013268,0.0013268
19,39165.6,0.80503,0.49956,0.90884,0.8731,0.79559,0.85465,0.64895,0.72784,0.48093,0.87059,0.0012872,0.0012872,0.0012872
20,41230.4,0.81086,0.5021,0.90729,0.86554,0.79706,0.85323,0.64809,0.72733,0.48335,0.86893,0.0012476,0.0012476,0.0012476
21,43296.7,0.80868,0.49939,0.90502,0.88138,0.79669,0.8588,0.65406,0.73477,0.48781,0.87512,0.001208,0.001208,0.001208
22,45341.2,0.7932,0.49456,0.90489,0.86721,0.80294,0.85734,0.65304,0.7235,0.48303,0.86881,0.0011684,0.0011684,0.0011684
23,47426.7,0.78845,0.48422,0.905,0.86564,0.79816,0.85317,0.65239,0.72384,0.47586,0.86303,0.0011288,0.0011288,0.0011288
24,49476.5,0.79007,0.49831,0.90361,0.85871,0.80888,0.85426,0.65387,0.7264,0.47887,0.86887,0.0010892,0.0010892,0.0010892
25,51580.6,0.79959,0.49804,0.90242,0.87196,0.79559,0.8536,0.64898,0.72247,0.47694,0.86813,0.0010496,0.0010496,0.0010496
26,53687.6,0.79955,0.49286,0.90458,0.87292,0.79706,0.85969,0.65717,0.7266,0.47434,0.86434,0.00101,0.00101,0.00101
27,55805.7,0.77276,0.47764,0.89954,0.86948,0.79845,0.8567,0.65464,0.71512,0.46957,0.86603,0.0009704,0.0009704,0.0009704
28,58037.4,0.77941,0.47917,0.89898,0.8728,0.8,0.861,0.65722,0.71599,0.46706,0.86344,0.0009308,0.0009308,0.0009308
29,60227.1,0.77622,0.47361,0.89725,0.85587,0.80441,0.85687,0.65596,0.72049,0.47552,0.86417,0.0008912,0.0008912,0.0008912
30,62358.8,0.77637,0.48923,0.90117,0.87636,0.80003,0.86261,0.66296,0.72437,0.47601,0.8679,0.0008516,0.0008516,0.0008516
